縣市,年度,主要行業,薪資項目,數值
新北市,2020,批發業,行業平均(元),630000
新北市,2021,資訊電子工業,行業平均(元),1039000
新北市,2022,金屬機電工業,行業平均(元),571000
新北市,2023,零售業,行業平均(元),562000
臺北市,2020,批發業,行業平均(元),867000
臺北市,2021,金融及保險業,行業平均(元),1306000
臺北市,2022,出版影音及資通訊業,行業平均(元),1046000
臺北市,2023,專業、科學及技術服務業,行業平均(元),889000
桃園市,2020,資訊電子工業,行業平均(元),1088000
桃園市,2021,金屬機電工業,行業平均(元),726000
桃園市,2022,批發業,行業平均(元),601000
桃園市,2023,運輸及倉儲業,行業平均(元),811000
臺中市,2020,金屬機電工業,行業平均(元),563000
臺中市,2021,批發業,行業平均(元),547000
臺中市,2022,零售業,行業平均(元),562000
臺中市,2023,資訊電子工業,行業平均(元),1118000
臺南市,2020,金屬機電工業,行業平均(元),611000
臺南市,2021,資訊電子工業,行業平均(元),1302000
臺南市,2022,批發業,行業平均(元),528000
臺南市,2023,民生工業,行業平均(元),579000
高雄市,2020,金屬機電工業,行業平均(元),678000
高雄市,2021,批發業,行業平均(元),539000
高雄市,2022,營建工程業,行業平均(元),579000
高雄市,2023,零售業,行業平均(元),564000
宜蘭縣,2020,營建工程業,行業平均(元),532000
宜蘭縣,2021,住宿及餐飲業,行業平均(元),500000
宜蘭縣,2022,民生工業,行業平均(元),548000
宜蘭縣,2023,零售業,行業平均(元),550000
新竹縣,2020,資訊電子工業,行業平均(元),1397000
新竹縣,2021,金屬機電工業,行業平均(元),799000
新竹縣,2022,批發業,行業平均(元),871000
新竹縣,2023,化學工業,行業平均(元),802000
苗栗縣,2020,資訊電子工業,行業平均(元),1055000
苗栗縣,2021,金屬機電工業,行業平均(元),662000
苗栗縣,2022,營建工程業,行業平均(元),521000
苗栗縣,2023,民生工業,行業平均(元),618000
彰化縣,2020,金屬機電工業,行業平均(元),496000
彰化縣,2021,民生工業,行業平均(元),504000
彰化縣,2022,化學工業,行業平均(元),607000
彰化縣,2023,批發業,行業平均(元),452000
南投縣,2020,住宿及餐飲業,行業平均(元),465000
南投縣,2021,金屬機電工業,行業平均(元),544000
南投縣,2022,醫療保健及社會工作服務業,行業平均(元),774000
南投縣,2023,零售業,行業平均(元),501000
雲林縣,2020,化學工業,行業平均(元),996000
雲林縣,2021,民生工業,行業平均(元),568000
雲林縣,2022,營建工程業,行業平均(元),434000
雲林縣,2023,金屬機電工業,行業平均(元),590000
嘉義縣,2020,民生工業,行業平均(元),594000
嘉義縣,2021,金屬機電工業,行業平均(元),520000
嘉義縣,2022,化學工業,行業平均(元),686000
嘉義縣,2023,批發業,行業平均(元),475000
屏東縣,2020,批發業,行業平均(元),458000
屏東縣,2021,醫療保健及社會工作服務業,行業平均(元),760000
屏東縣,2022,零售業,行業平均(元),482000
屏東縣,2023,金屬機電工業,行業平均(元),555000
