職業類別,大類碼,大類名稱,中類,小類,細類,細類名稱,產業別分類
人力資源主管,N,支援服務業,78,781,7810,人力資源管理,人力資源管理
人力資源人員,N,支援服務業,78,781,7810,人力資源管理,人力資源管理
人力資源專員,N,支援服務業,78,781,7810,人力資源管理,人力資源管理
人力∕外勞仲介,N,支援服務業,78,781,7810,外籍勞工仲介與派遣,外籍勞工仲介與派遣
招募顧問,N,支援服務業,78,781,7810,人才招募與顧問服務,人才招募與顧問服務
教育訓練人員,P,教育服務業,85,852,8522,教育訓練與課程設計,教育訓練與課程設計
保全主管,N,支援服務業,80,800,8000,保全與守衛,保全與守衛
保全人員,N,支援服務業,80,800,8000,保全與守衛,保全與守衛
停車場管理員,N,支援服務業,80,800,8000,停車場管理服務,停車場管理服務
其他保全相關人員,N,支援服務業,80,800,8000,保全與守衛,保全與守衛
大樓管理員,N,支援服務業,80,800,8000,物業與社區管理,物業與社區管理
安全人員,N,支援服務業,80,800,8000,門禁與安全管理,門禁與安全管理
門禁管制人員,N,支援服務業,80,800,8000,門禁管制,門禁管制
倉管人員,H,運輸及倉儲業,53,531,5310,倉儲管理,倉儲管理
其他倉儲物料人員,H,運輸及倉儲業,53,531,5310,物料整理與盤點,物料整理與盤點
物料管理人員,H,運輸及倉儲業,53,531,5310,物料控管,物料控管
資材人員,C,製造業,29,292,2920,資材採購與盤點,資材採購與盤點
健康管理師,Q,醫療保健及社會工作服務業,86,869,8690,健康促進與管理,健康促進與管理
復健師,Q,醫療保健及社會工作服務業,86,861,8610,物理治療與復健,物理治療與復健
心理師,Q,醫療保健及社會工作服務業,86,861,8610,心理諮詢,心理諮詢
活動企劃人員,M,專業科學及技術服務業,73,731,7310,活動執行與公關,活動執行與公關
照顧服務員,Q,醫療保健及社會工作服務業,87,871,8710,照顧與看護,照顧與看護
社工人員,Q,醫療保健及社會工作服務業,87,872,8720,社會福利服務,社會福利服務
諮商人員,Q,醫療保健及社會工作服務業,86,861,8610,心理與諮商服務,心理與諮商服務
長照服務員,Q,醫療保健及社會工作服務業,87,871,8710,長期照顧服務,長期照顧服務
公家機關臨時人員,O,公共行政及國防,84,841,8411,臨時約聘人員,臨時約聘人員
加油員,G,批發及零售業,47,473,4730,燃料加油服務,燃料加油服務
家事服務人員,N,支援服務業,81,812,8121,居家清潔與家事服務,居家清潔與家事服務
家事服務工,N,支援服務業,81,812,8121,居家幫傭,居家幫傭
服務台人員,G,批發及零售業,47,471,4711,百貨∕門市櫃檯人員,百貨∕門市櫃檯人員
汽車美容人員,S,其他服務業,95,953,9530,汽車美容與清洗,汽車美容與清洗
派報生∕傳單派送,N,支援服務業,82,829,8290,臨時派遣與派報,臨時派遣與派報
清潔工∕資源回收人員,N,支援服務業,81,812,8120,清潔與回收,清潔與回收
生命禮儀師,S,其他服務業,96,960,9603,禮儀與喪葬服務,禮儀與喪葬服務
生產人員,C,製造業,29,292,2920,製造與生產作業,製造與生產作業
翻譯,M,專業科學及技術服務業,74,743,7430,翻譯服務,翻譯服務
聯絡員∕調度專員∕協調專員,N,支援服務業,82,829,8290,調度與聯絡協調,調度與聯絡協調
花藝設計師,A,農林漁牧業,13,130,130,花藝與佈置設計,花藝與佈置設計
花藝∕園藝人員,A,農林漁牧業,13,130,130,花藝與園藝,花藝與園藝
